Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note
77508;Villeneuve-le-Comte;353;27;283;22;248;19;429;33;1,59
94077;Villeneuve-le-Roi;5380;37;3229;22;2509;17;3372;23;1,25
77509;Villeneuve-les-Bordes;146;32;134;30;85;19;88;19;1,25
77510;Villeneuve-Saint-Denis;191;29;135;21;102;16;225;34;1,55
94078;Villeneuve-Saint-Georges;9537;43;4513;21;3757;17;4194;19;1,12
77511;Villeneuve-sous-Dammartin;110;26;127;30;98;23;92;22;1,42
91671;Villeneuve-sur-Auvers;108;24;117;25;86;19;148;32;1,59
77512;Villeneuve-sur-Bellot;296;35;242;29;141;17;160;19;1,2
78672;Villennes-sur-Seine;385;11;415;11;530;15;2295;63;2,3
77513;Villenoy;819;25;797;24;667;20;1052;32;1,6
77514;Villeparisis;5596;31;4149;23;3436;19;4686;26;1,39
93078;Villepinte;9239;38;5470;23;4443;18;5123;21;1,22
78674;Villepreux;1662;22;1403;19;1390;19;2955;40;1,77
95675;Villeron;105;20;161;30;115;22;147;28;1,58
77515;Villeroy;137;28;144;30;92;19;111;23;1,37
95676;Villers-en-Arthies;73;20;96;27;72;20;116;32;1,63
93079;Villetaneuse;3860;47;1592;19;1349;16;1439;17;1,02
78677;Villette;70;18;89;23;72;19;149;39;1,78
77517;Villevaudé;536;35;295;19;256;17;430;28;1,37
95678;Villiers-Adam;128;21;136;22;96;15;264;42;1,78
77518;Villiers-en-Bière;30;19;32;20;34;21;64;40;1,82
91679;Villiers-le-Bâcle;102;12;160;18;138;16;471;54;2,12
95680;Villiers-le-Bel;7413;42;3589;20;3290;19;3292;19;1,15
78681;Villiers-le-Mahieu;74;14;114;21;103;19;241;45;1,94
95682;Villiers-le-Sec;34;26;30;23;32;24;35;27;1,52
78683;Villiers-Saint-Frédéric;233;12;438;22;318;16;997;50;2,04
77519;Villiers-Saint-Georges;331;39;252;30;138;16;124;15;1,07
77520;Villiers-sous-Grez;129;23;131;24;93;17;204;37;1,69
94079;Villiers-sur-Marne;6116;30;4006;20;3521;17;6720;33;1,53
77521;Villiers-sur-Morin;300;23;316;24;278;21;436;33;1,65
91685;Villiers-sur-Orge;570;18;723;23;544;17;1293;41;1,8
77522;Villiers-sur-Seine;76;33;83;36;35;15;37;16;1,14
77523;Villuis;72;37;68;35;29;15;28;14;1,07
77524;Vimpelles;104;28;139;37;67;18;63;17;1,24
77525;Vinantes;76;29;87;33;52;20;47;18;1,27
94080;Vincennes;5209;14;3364;9;4740;13;23198;64;2,27
77526;Vincy-Manœuvre;48;24;59;30;54;27;37;19;1,41
78686;Viroflay;1518;14;1122;10;1344;12;7243;65;2,29
91687;Viry-Châtillon;6999;33;4451;21;3760;18;5967;28;1,41
94081;Vitry-sur-Seine;22400;36;11760;19;10224;16;18260;29;1,38
77527;Voinsles;94;23;110;27;73;18;132;32;1,59
77528;Voisenon;153;19;219;28;135;17;285;36;1,7
78688;Voisins-le-Bretonneux;820;11;940;12;1072;14;4874;63;2,29
77529;Voulangis;280;26;258;24;218;20;336;31;1,57
77530;Voulton;74;30;65;27;49;20;56;23;1,36
77531;Voulx;503;39;380;29;206;16;215;16;1,09
77532;Vulaines-lès-Provins;9;20;12;27;11;24;13;29;1,62
77533;Vulaines-sur-Seine;381;19;438;22;315;16;831;42;1,8
91689;Wissous;1179;22;955;18;1085;20;2238;41;1,81
95690;Wy-dit-Joli-Village;59;22;46;17;58;22;106;39;1,78
77534;Yèbles;126;21;166;28;120;20;184;31;1,61
91691;Yerres;4574;22;4338;21;3664;18;7986;39;1,74
