Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note;salaire
92040;Issy-les-Moulineaux;7718;16;4973;10;6395;13;29875;61;2,19;22,5
77172;Esmans;219;32;217;32;118;17;133;19;1,23;22,6
78263;Gambais;245;14;398;23;344;20;777;44;1,95;22,6
91471;Orsay;1637;15;1220;11;1360;13;6555;61;2,2;22,7
78418;Montesson;1920;18;1698;16;1690;16;5150;49;1,95;22,8
92014;Bourg-la-Reine;2097;15;1307;9;1819;13;9142;64;2,27;22,8
78481;Le Pecq;1948;17;1550;14;1588;14;6288;55;2,07;22,9
92048;Meudon;6194;19;4590;14;4583;14;16642;52;1,98;23
75115;Paris 15e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;23,1
91122;Bures-sur-Yvette;805;13;754;12;727;11;4049;64;2,26;23,1
77441;Samois-sur-Seine;336;22;203;13;277;18;742;48;1,93;23,2
78117;Buc;440;11;482;12;577;14;2500;63;2,29;23,4
91534;Saclay;384;15;460;18;384;15;1377;53;2,07;23,5
94067;Saint-Mandé;2695;17;1300;8;2507;16;9509;59;2,17;23,5
